Sphere_evaluation_file Voltage	Sphere_evaluation_file Current	Sphere_evaluation_file Current density	Sphere_evaluation_file PD current	Sphere_evaluation_file Radiant flux	Sphere_evaluation_file Luminous flux	Sphere_evaluation_file Irradiance	Sphere_evaluation_file Luminance	Sphere_evaluation_file EQE	Sphere_evaluation_file P_eff
V	A	mA/cm^2	A	W	lm	W/m^2	cd/m^2	%	lm/W

2.899433	1.128552e-09	1.7772472440944884e-05	9.947598300999998e-13	3.8266000465480323e-10	1.7033953499271603e-07	6.026141805587453e-05	0.008538702046634846	15.55422607868441	52.05720000482064
2.909352	1.222623e-09	1.9253905511811025e-05	5.826450432999999e-13	2.2412943128077772e-10	9.97702990595789e-08	3.529597343004374e-05	0.0050012397697917045	8.409365658645461	28.048680998431344
2.919255	1.203606e-09	1.8954425196850394e-05	8.526512829000001e-13	3.2799428968763107e-10	1.4600531570070363e-07	5.165264404529623e-05	0.007318887468176284	12.500829969277424	41.553947898994956
2.929507	1.354562e-09	2.133168503937008e-05	5.684341889999893e-14	2.186628599456202e-11	9.733687720229532e-09	3.4435096054428383e-06	0.0004879258315550903	0.7405136108739491	2.452923369354151
2.939397	1.303299e-09	2.05243937007874e-05	2.9416469257e-12	1.1315802993050008e-09	5.037183391152002e-07	0.0001782016219377954	0.025250161762590147	39.828892021573886	131.48779851430677
2.949316	1.724343e-09	2.715500787401575e-05	6.167510946700001e-12	2.372492028890555e-09	1.0561051169685386e-06	0.0003736207919512685	0.05293995268982275	63.11578861550789	207.6644621612111
2.959216	2.142132e-09	3.373436220472442e-05	5.826450432999999e-13	2.2412943128077772e-10	9.97702990595789e-08	3.529597343004374e-05	0.0050012397697917045	4.799650007408548	15.739045055731
2.969468	1.752615e-09	2.760023622047244e-05	6.110667528000002e-13	2.350625742972928e-10	1.0463714292825565e-07	3.7017728235794145e-05	0.00524520268599844	6.152531884891282	20.10576948655819
2.979383	2.072909e-09	3.2644236220472444e-05	6.821210263000001e-13	2.6239543174241135e-10	1.1680425255713815e-07	4.1322115235025415e-05	0.005855109974369352	5.806747505292694	18.91263678777703
2.989293	2.279099e-09	3.5891322834645666e-05	8.52651282999992e-14	3.2799428972609555e-11	1.4600531571782592e-08	5.165264405135363e-06	0.0007318887469034582	0.660176409965807	2.143073134482402
2.999204	2.310879e-09	3.639179527559055e-05	4.121147866999999e-13	1.5853057333555797e-10	7.056923591601344e-08	2.4965444619772913e-05	0.0035374622759847736	3.1469709483346984	10.1819791309033
